epoch: 47, Train Loss: 0.692160, Train Acc: 0.780917, Eval Loss: 0.674657, Eval Acc: 0.787579, PSNR: 7.964120
epoch: 48, Train Loss: 0.689047, Train Acc: 0.781267, Eval Loss: 0.670710, Eval Acc: 0.788271, PSNR: 8.066799
epoch: 49, Train Loss: 0.685436, Train Acc: 0.780917, Eval Loss: 0.668895, Eval Acc: 0.785206, PSNR: 7.873368
epoch: 50, Train Loss: 0.682666, Train Acc: 0.782783, Eval Loss: 0.665809, Eval Acc: 0.791930, PSNR: 7.270962
epoch: 51, Train Loss: 0.679113, Train Acc: 0.783465, Eval Loss: 0.662603, Eval Acc: 0.789656, PSNR: 7.534321
epoch: 52, Train Loss: 0.676822, Train Acc: 0.784482, Eval Loss: 0.656372, Eval Acc: 0.790150, PSNR: 8.393096
epoch: 53, Train Loss: 0.672781, Train Acc: 0.785248, Eval Loss: 0.655686, Eval Acc: 0.792623, PSNR: 8.050361
epoch: 54, Train Loss: 0.670795, Train Acc: 0.784748, Eval Loss: 0.651732, Eval Acc: 0.796677, PSNR: 9.200989
epoch: 55, Train Loss: 0.667668, Train Acc: 0.786730, Eval Loss: 0.648227, Eval Acc: 0.791831, PSNR: 7.406167
epoch: 56, Train Loss: 0.665069, Train Acc: 0.786797, Eval Loss: 0.647867, Eval Acc: 0.794502, PSNR: 6.880095
epoch: 57, Train Loss: 0.662767, Train Acc: 0.786830, Eval Loss: 0.644203, Eval Acc: 0.793809, PSNR: 7.420912
epoch: 58, Train Loss: 0.659548, Train Acc: 0.787347, Eval Loss: 0.641282, Eval Acc: 0.796677, PSNR: 7.281404
epoch: 59, Train Loss: 0.658031, Train Acc: 0.787463, Eval Loss: 0.640612, Eval Acc: 0.796183, PSNR: 7.612089
epoch: 60, Train Loss: 0.655098, Train Acc: 0.788746, Eval Loss: 0.637938, Eval Acc: 0.794600, PSNR: 8.228233
epoch: 61, Train Loss: 0.651919, Train Acc: 0.790512, Eval Loss: 0.633428, Eval Acc: 0.796875, PSNR: 6.860945
epoch: 62, Train Loss: 0.650097, Train Acc: 0.789779, Eval Loss: 0.632970, Eval Acc: 0.797963, PSNR: 7.914541
epoch: 63, Train Loss: 0.648375, Train Acc: 0.791228, Eval Loss: 0.629298, Eval Acc: 0.799644, PSNR: 8.327317
epoch: 64, Train Loss: 0.646430, Train Acc: 0.791778, Eval Loss: 0.628319, Eval Acc: 0.801226, PSNR: 8.301686
epoch: 65, Train Loss: 0.643993, Train Acc: 0.791295, Eval Loss: 0.626215, Eval Acc: 0.799248, PSNR: 7.786381
epoch: 66, Train Loss: 0.642912, Train Acc: 0.790745, Eval Loss: 0.623074, Eval Acc: 0.800831, PSNR: 9.194502
epoch: 67, Train Loss: 0.639437, Train Acc: 0.792894, Eval Loss: 0.622448, Eval Acc: 0.798655, PSNR: 9.572648
epoch: 68, Train Loss: 0.637939, Train Acc: 0.793027, Eval Loss: 0.619523, Eval Acc: 0.800435, PSNR: 8.263870
epoch: 69, Train Loss: 0.636576, Train Acc: 0.794360, Eval Loss: 0.617402, Eval Acc: 0.800138, PSNR: 8.006299
epoch: 70, Train Loss: 0.634308, Train Acc: 0.794660, Eval Loss: 0.617049, Eval Acc: 0.799545, PSNR: 9.473525
epoch: 71, Train Loss: 0.631844, Train Acc: 0.795009, Eval Loss: 0.615680, Eval Acc: 0.803303, PSNR: 8.625173
epoch: 72, Train Loss: 0.630693, Train Acc: 0.794709, Eval Loss: 0.613104, Eval Acc: 0.802314, PSNR: 9.463932
epoch: 73, Train Loss: 0.629115, Train Acc: 0.795193, Eval Loss: 0.611230, Eval Acc: 0.804292, PSNR: 8.330209
epoch: 74, Train Loss: 0.626959, Train Acc: 0.796875, Eval Loss: 0.610360, Eval Acc: 0.802413, PSNR: 8.268603
epoch: 75, Train Loss: 0.625456, Train Acc: 0.796192, Eval Loss: 0.610910, Eval Acc: 0.802314, PSNR: 7.815182
epoch: 76, Train Loss: 0.623185, Train Acc: 0.797641, Eval Loss: 0.604791, Eval Acc: 0.804885, PSNR: 8.659703
epoch: 77, Train Loss: 0.622786, Train Acc: 0.796425, Eval Loss: 0.603716, Eval Acc: 0.806171, PSNR: 8.230221
epoch: 78, Train Loss: 0.620685, Train Acc: 0.797708, Eval Loss: 0.602785, Eval Acc: 0.804094, PSNR: 8.221173
epoch: 79, Train Loss: 0.619104, Train Acc: 0.797891, Eval Loss: 0.599526, Eval Acc: 0.806072, PSNR: 9.048091
epoch: 80, Train Loss: 0.617794, Train Acc: 0.798624, Eval Loss: 0.600381, Eval Acc: 0.802116, PSNR: 8.589096
epoch: 81, Train Loss: 0.616239, Train Acc: 0.798374, Eval Loss: 0.596600, Eval Acc: 0.805083, PSNR: 9.708756
epoch: 82, Train Loss: 0.614497, Train Acc: 0.799457, Eval Loss: 0.596228, Eval Acc: 0.807160, PSNR: 8.879459
epoch: 83, Train Loss: 0.613599, Train Acc: 0.797858, Eval Loss: 0.595595, Eval Acc: 0.806962, PSNR: 8.591873
epoch: 84, Train Loss: 0.612303, Train Acc: 0.798657, Eval Loss: 0.594837, Eval Acc: 0.805182, PSNR: 8.298165
epoch: 85, Train Loss: 0.610672, Train Acc: 0.800123, Eval Loss: 0.593480, Eval Acc: 0.805676, PSNR: 8.493822
epoch: 86, Train Loss: 0.609633, Train Acc: 0.799274, Eval Loss: 0.590612, Eval Acc: 0.808445, PSNR: 9.012846
epoch: 87, Train Loss: 0.607234, Train Acc: 0.801373, Eval Loss: 0.592415, Eval Acc: 0.804490, PSNR: 8.719577
epoch: 88, Train Loss: 0.606360, Train Acc: 0.800673, Eval Loss: 0.588775, Eval Acc: 0.807061, PSNR: 8.840274
epoch: 89, Train Loss: 0.604572, Train Acc: 0.801806, Eval Loss: 0.589968, Eval Acc: 0.807753, PSNR: 8.688368
epoch: 90, Train Loss: 0.604189, Train Acc: 0.802739, Eval Loss: 0.586241, Eval Acc: 0.808445, PSNR: 8.922282
epoch: 91, Train Loss: 0.603066, Train Acc: 0.802022, Eval Loss: 0.584221, Eval Acc: 0.812104, PSNR: 8.738423
epoch: 92, Train Loss: 0.601329, Train Acc: 0.802372, Eval Loss: 0.583937, Eval Acc: 0.809434, PSNR: 8.648848
epoch: 93, Train Loss: 0.600476, Train Acc: 0.801856, Eval Loss: 0.581812, Eval Acc: 0.809138, PSNR: 9.336985
epoch: 94, Train Loss: 0.599965, Train Acc: 0.802405, Eval Loss: 0.581827, Eval Acc: 0.809138, PSNR: 8.974243
epoch: 95, Train Loss: 0.597512, Train Acc: 0.803288, Eval Loss: 0.580185, Eval Acc: 0.810423, PSNR: 8.004803
epoch: 96, Train Loss: 0.597021, Train Acc: 0.803588, Eval Loss: 0.577984, Eval Acc: 0.809731, PSNR: 8.139433
epoch: 97, Train Loss: 0.596272, Train Acc: 0.803305, Eval Loss: 0.578495, Eval Acc: 0.807951, PSNR: 8.728855
epoch: 98, Train Loss: 0.595205, Train Acc: 0.803188, Eval Loss: 0.575463, Eval Acc: 0.808643, PSNR: 8.722023
epoch: 99, Train Loss: 0.593005, Train Acc: 0.804021, Eval Loss: 0.576655, Eval Acc: 0.812401, PSNR: 9.568199
epoch: 100, Train Loss: 0.592380, Train Acc: 0.804871, Eval Loss: 0.574953, Eval Acc: 0.814676, PSNR: 8.931657
epoch: 101, Train Loss: 0.592120, Train Acc: 0.804304, Eval Loss: 0.574141, Eval Acc: 0.810028, PSNR: 9.667093
epoch: 102, Train Loss: 0.591103, Train Acc: 0.805370, Eval Loss: 0.574406, Eval Acc: 0.813291, PSNR: 8.812151
epoch: 103, Train Loss: 0.588700, Train Acc: 0.804538, Eval Loss: 0.572803, Eval Acc: 0.812698, PSNR: 9.257199
epoch: 104, Train Loss: 0.588620, Train Acc: 0.806137, Eval Loss: 0.569501, Eval Acc: 0.810819, PSNR: 9.016935
epoch: 105, Train Loss: 0.587395, Train Acc: 0.804854, Eval Loss: 0.570153, Eval Acc: 0.811214, PSNR: 9.378974
epoch: 106, Train Loss: 0.586709, Train Acc: 0.805021, Eval Loss: 0.568950, Eval Acc: 0.812401, PSNR: 9.542564
epoch: 107, Train Loss: 0.586031, Train Acc: 0.805687, Eval Loss: 0.567574, Eval Acc: 0.810918, PSNR: 9.656297
epoch: 108, Train Loss: 0.585252, Train Acc: 0.806503, Eval Loss: 0.566107, Eval Acc: 0.814478, PSNR: 9.403396
epoch: 109, Train Loss: 0.583515, Train Acc: 0.807053, Eval Loss: 0.564905, Eval Acc: 0.813884, PSNR: 9.459683
epoch: 110, Train Loss: 0.583049, Train Acc: 0.806936, Eval Loss: 0.565338, Eval Acc: 0.809830, PSNR: 10.123777
epoch: 111, Train Loss: 0.581892, Train Acc: 0.807036, Eval Loss: 0.566438, Eval Acc: 0.812698, PSNR: 9.872947
epoch: 112, Train Loss: 0.581421, Train Acc: 0.807186, Eval Loss: 0.564161, Eval Acc: 0.815665, PSNR: 9.857272
epoch: 113, Train Loss: 0.579717, Train Acc: 0.807403, Eval Loss: 0.562015, Eval Acc: 0.815467, PSNR: 9.198045
epoch: 114, Train Loss: 0.579079, Train Acc: 0.807403, Eval Loss: 0.561840, Eval Acc: 0.818137, PSNR: 8.747262
epoch: 115, Train Loss: 0.578646, Train Acc: 0.806986, Eval Loss: 0.562843, Eval Acc: 0.815566, PSNR: 9.113764
epoch: 116, Train Loss: 0.578090, Train Acc: 0.807719, Eval Loss: 0.561821, Eval Acc: 0.814379, PSNR: 9.043351
epoch: 117, Train Loss: 0.577092, Train Acc: 0.807736, Eval Loss: 0.561491, Eval Acc: 0.813983, PSNR: 10.043585
epoch: 118, Train Loss: 0.576206, Train Acc: 0.809285, Eval Loss: 0.558593, Eval Acc: 0.815566, PSNR: 9.360089
epoch: 119, Train Loss: 0.574956, Train Acc: 0.809701, Eval Loss: 0.557595, Eval Acc: 0.817346, PSNR: 10.064439
epoch: 120, Train Loss: 0.574248, Train Acc: 0.808902, Eval Loss: 0.557218, Eval Acc: 0.816060, PSNR: 9.524588
epoch: 121, Train Loss: 0.574216, Train Acc: 0.809135, Eval Loss: 0.554566, Eval Acc: 0.813687, PSNR: 8.855951
epoch: 122, Train Loss: 0.573226, Train Acc: 0.809135, Eval Loss: 0.555415, Eval Acc: 0.816653, PSNR: 9.720057
epoch: 123, Train Loss: 0.572503, Train Acc: 0.810834, Eval Loss: 0.553333, Eval Acc: 0.816258, PSNR: 9.888138
epoch: 124, Train Loss: 0.571545, Train Acc: 0.810368, Eval Loss: 0.553011, Eval Acc: 0.817642, PSNR: 8.910706
epoch: 125, Train Loss: 0.571195, Train Acc: 0.809185, Eval Loss: 0.552809, Eval Acc: 0.819324, PSNR: 10.493295
epoch: 126, Train Loss: 0.570452, Train Acc: 0.810018, Eval Loss: 0.553720, Eval Acc: 0.819818, PSNR: 10.781597
epoch: 127, Train Loss: 0.569216, Train Acc: 0.810351, Eval Loss: 0.550841, Eval Acc: 0.816752, PSNR: 10.195491
epoch: 128, Train Loss: 0.568368, Train Acc: 0.811017, Eval Loss: 0.550842, Eval Acc: 0.815763, PSNR: 8.989477
epoch: 129, Train Loss: 0.567589, Train Acc: 0.811750, Eval Loss: 0.550410, Eval Acc: 0.821994, PSNR: 10.941091
epoch: 130, Train Loss: 0.566956, Train Acc: 0.810334, Eval Loss: 0.547158, Eval Acc: 0.819225, PSNR: 8.928315
epoch: 131, Train Loss: 0.566907, Train Acc: 0.810951, Eval Loss: 0.548822, Eval Acc: 0.817840, PSNR: 8.461431
epoch: 132, Train Loss: 0.565532, Train Acc: 0.810951, Eval Loss: 0.548810, Eval Acc: 0.818038, PSNR: 9.551273
epoch: 133, Train Loss: 0.565446, Train Acc: 0.811917, Eval Loss: 0.547610, Eval Acc: 0.816456, PSNR: 9.926392
epoch: 134, Train Loss: 0.564933, Train Acc: 0.811667, Eval Loss: 0.547017, Eval Acc: 0.817939, PSNR: 9.726654
epoch: 135, Train Loss: 0.563145, Train Acc: 0.811517, Eval Loss: 0.546105, Eval Acc: 0.818038, PSNR: 9.305979
epoch: 136, Train Loss: 0.562738, Train Acc: 0.811301, Eval Loss: 0.544975, Eval Acc: 0.819126, PSNR: 10.291852
