Training for Eve start
Compression Rate: 0.8
SNR Value: -5
epoch: 57, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 58, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 59, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 60, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 61, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 62, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 63, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 64, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 65, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 66, Train Loss: nan, Train Acc: 0.098664, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 67, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 68, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 69, Train Loss: nan, Train Acc: 0.098781, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 70, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 71, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 72, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 73, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 74, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 75, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 76, Train Loss: nan, Train Acc: 0.098764, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 77, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 78, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 79, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 80, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 81, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
